Year,Country,City,School Name,Curriculum,Grade Level,Role,Years of Experience,Salary In Dollars,Housing In Dollars,Savings In Dollars,Salary Currency,Monthly Salary,Savings Potential,Tax Rate (%),Flights Allowance,Housing Allowance,End of Contract Bonuses,Additional Benefits
2023,Thailand,Bangkok,SHB,British Curriculum,6,Primary,11,3262,593.0,1483,Baht,110000,50000,5,"10,000","20,000","110,000","Free places for children, medical"
2023,Thailand,Bangkok,St Andrews 107,British Curriculum,,Secondary Geography,5,3025,,1334,Baht,102000,45000,11%,"40,000",,"102,000","2 school places, relocation allowance 20,000"
2023,Thailand,Bangkok,Amnuay Silpa School,British Curriculum,Secondary,Maths,3,3410,,1305,Baht,115000,44000,6,"40,000",,"100,000",
2023,Thailand,Bangkok,Singapore International School Bangkok Pracha Uthit,SG/UK Blend,Lower Primary,PE,5,1928,445.0,,Baht,65000,,,"35,000","15,000",,"Health Insurance, 2 school places, end of contract bonus at 50%..."
2024,Thailand,Bangkok,Satit Prasarnmit International Programme,British Curriculum,Key Stage 3,Computing,2,2669,593.0,1334,Baht,90000,45000,6.50%,,"20,000","40,000",180 working days per academic year; 15 teaching hours per week
2024,Thailand,Bangkok,Ascot International School,International Baccalaureate (IB) programmes,Secondary,Physical Education,20,2521,445.0,,Baht,85000,,17.5,"20,000","15,000",,Free tuition for dependent. Medical Insurance covers 2000bhat/day...
2024,Thailand,Bangkok,Denla Trilingual School (DLTS) Rama 5,US-oriented curriculum,1,Homeroom teacher,5,3232,297.0,1483,Baht,109000,50000,20%,"50,000",,"10,000",Health Insurance
2024,Thailand,Bangkok,Astra Academy International School,British Curriculum,Secondary,Science and Maths teacher,4,2076,297.0,890,Baht,70000,30000,20%,,,"10,000",Health Insurance
2024,Thailand,Bangkok,KIS International School Bangkok,International Baccalaureate (IB) programmes,High School,English,15,4003,741.0,593,Baht,135000,20000,17-20%,"20,000","25,000",,Health Insurance for self and dependents; Provident Fund...
2024,Thailand,Bangkok,Harrow Bangkok,British Curriculum,Secondary,Computer Science,2,3321,830.0,1779,Baht,112000,60000,15%,"50,000","28,000","130,000",
2024,Thailand,Bangkok,Concordian,International Baccalaureate (IB) programmes,Primary Substitute,Sub,6,4359,,741,Baht,147000,25000,6%,"2,000",,,
2024,Thailand,Bangkok,International Christian School Nonthaburi,US-oriented curriculum,grade 1 - 5,ICT,3,1601,356.0,593,Baht,54000,20000,?,"5,000","12,000",,Americans get higher amount of flight allowance at year end...
2024,Thailand,Bangkok,Mahidol University International Demonstration School,US-oriented curriculum,"Grades 11, 12",Social Studies,5,2669,297.0,1038,Baht,90000,35000,5%,,"10,000",,Roundtrip flight back to country of origin every 2 years.
2024,Thailand,Bangkok,Brighton College Bangkok,British Curriculum,Primary,Primary Teacher,6,3736,890.0,,Baht,126000,,15.7,,"30,000",,
2025,Thailand,Bangkok,Daroonpat Bilingual School,Thai + Cambridge curriculum,Primary,Decline to answer,2,1928,74.0,593,Baht,65000,20000,10%,,"2,500","7,000","none, salary is from 40000-65000 for teachers..."
2025,Thailand,Bangkok,Concordian International School,International Baccalaureate (IB) programmes,Grades 6-10,MYP Science,6,4500,,1250,US Dollar,4500,1250,30%,,,,"Annual flights, professional development"
2023,Thailand,Bangkok,Harrow Bangkok,British Curriculum,Grades 1-5,Primary,8,4834,,1483,Baht,163000,50000,17,"25,000",,"300,000",
2024,Thailand,Bangkok,Satit Kaset IP,Thai and US,Third grade homeroom,Core subjects,28,4700,509.0,1000,US Dollar,4700,1000,"25.,%","1,500",509,,Medical
2024,Thailand,Bangkok,St Andrews Nord Anglia,International Baccalaureate (IB) programmes,High School,Math,,3772,,,Baht,127200,,Tax already taken out,25000,,127200,
